,Broker Phone Number,Broker Company Name,Number of listed properties
0,null,null,null
1,+201064247555,                Retaj Real Estate Consultancy,175
2,+201000552273,                Coldwell Banker Platinum,142
3,+201111048006,                Soul For Real Estate,45
4,+201092892866,                Onyx for real estate,340
5,+201009366996,                رؤية للاستثمار العقاري,152
6,+201116759157,                Home Key,73
7,+201050404653,                Emak Realestate,97
8,+201010591385,                lacerta properties,129
9,+201120523333,                RE/MAX Impact,9
10,+201111199110,                EL Bateel for Real Estate,19
11,+201064333222,                Loyalty Real Estate,257
12,+201234555575,                Evernest Estate,153
13,+201050863940,                BYOUT MISR GROUP,517
14,+201023401272,                New Home for Realestate,184
15,+201140004084,                Promise For Real Estate,100
19,+201061144201,                My City Real Estate,170
20,+201022214789,                RE/MAX Avalon,1216
21,+201026960166,                Aqar Share,68
26,+201001483076,                وسيط للتسويق العقاري,142
28,+201091956669,                شركة النسر للاستثمار العقاري والمقاولات العامة,15
29,+201155468540,                Property hills Plus,44
32,+201555550266,                Meamar Real Estate,140
33,+201228032707,                El Massa Real Estate,41
34,+201225151797,                Century 22,251
37,+201063035246,                شقتي للتسويق العقاري و ادارة المشروعات,125
40,+201113377778,                Royal Home,329
49,+201061951911,                BMP,162
52,+201555550266,                Meamar Real Estate,139
56,+201004353926,                La Plage Group,36
61,+201201111720,                Value Estate,65
62,+201115171110,                Zone Properties,216
63,+201121190144,                Plaza Gardens,20
66,+201149679050,                Infinity for  Real Estate,10
70,+201013615156,                Genesis,81
72,+201060172517,                Better Life Real Estate,286
73,+201063000473,                El Wardany Group,24
77,+201001483076,                وسيط للتسويق العقاري,143
81,+201126114730,                The Capital,19
84,+201110708383,                URE-Ultimate Real Estate,1024
87,+201100888203,                Remax Top Agents,76
95,+201006816398,                Your Zone For Real Estate,8
98,+201207233761,                KWE Real Estate,128
100,+201006667804,                Pro Max for Real Estate,516
105,+201111120541,                Home experts,40
108,+201120331170,                Red Stone Real estate,4
109,+201009104100,                Inspectors Real Estate Consultancy,74
113,+201030002538,                Empire real estate and investment,490
114,+201006102105,                Prime,45
116,+201000057258,                ايلاف مصر,81
117,+201001483076,                وسيط للتسويق العقاري,144
119,+201008881386,                Aqar Trend,60
120,+201023240179,                ريماكس هوم ماسترز,356
123,+201020273707,                First Move,49
126,+201002620836,                ARCO West,75
128,+201016611000,                Chances Real Estate,208
130,+201022614123,                Future  Real  Estate,44
132,+201119333913,                Open Home Real Estate,99
134,+201099222621,                KARTAJ REAL ESTATE,46
135,+201118985559,                Dream Homes Real Estate,283
136,+201122655561,                Green Stone Real Estate,514
137,+201141066622,                MERCATO Real Estate,55
138,+201002099549,                New Sakan Real Estate,27
143,+201060484017,                Azura Real Estate,229
144,+20109444901,                IREA Real Estate,7
152,+201015514400,                Location for Real Estate,156
153,+201050774474,                Meeting Points,26
154,+201008502001,                Blom investments,56
159,+201095354446,                lacuna for real estate,7
160,+201000048249,                City Square Real Estate,148
